rank,movie,year,rating,num_reviews
131,Jai Bhim,2021,8.2,"151,290"
132,Green Book,2018,8.2,"436,461"
133,Der Untergang,2004,8.2,"344,000"
134,Monty Python and the Holy Grail,1975,8.2,"521,615"
135,All About Eve,1950,8.2,"126,989"
136,Some Like It Hot,1959,8.2,"256,363"
137,Batman Begins,2005,8.2,"1,373,772"
138,Unforgiven,1992,8.2,"395,421"
139,Bacheha-Ye aseman,1997,8.2,"71,256"
140,Hauru no ugoku shiro,2004,8.2,"363,477"
141,The Wolf of Wall Street,2013,8.2,"1,286,626"
142,Judgment at Nuremberg,1961,8.2,"74,358"
143,The Great Escape,1963,8.2,"235,588"
144,There Will Be Blood,2007,8.2,"551,490"
145,Casino,1995,8.2,"493,006"
146,The Treasure of the Sierra Madre,1948,8.2,"120,729"
147,Pan's Labyrinth,2006,8.1,"643,642"
148,A Beautiful Mind,2001,8.1,"889,160"
149,El secreto de sus ojos,2009,8.1,"202,558"
150,Raging Bull,1980,8.1,"338,515"
151,Dersu Uzala,1975,8.1,"26,122"
152,Chinatown,1974,8.1,"312,360"
153,Tonari no Totoro,1988,8.1,"315,371"
154,"Lock, Stock and Two Smoking Barrels",1998,8.1,"559,732"
155,Shutter Island,2010,8.1,"1,213,599"
156,The Gold Rush,1925,8.1,"107,389"
157,No Country for Old Men,2007,8.1,"912,259"
158,Dial M for Murder,1954,8.1,"168,419"
159,The Thing,1982,8.1,"398,150"
160,Det sjunde inseglet,1957,8.1,"177,357"
161,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"472,884"
162,The Elephant Man,1980,8.1,"232,414"
163,Klaus,2019,8.1,"124,247"
164,The Sixth Sense,1999,8.1,"949,580"
165,Dune: Part One,2021,8.1,"368,552"
166,Smultronstället,1957,8.1,"103,246"
167,The Third Man,1949,8.1,"166,507"
168,The Truman Show,1998,8.1,"1,001,582"
169,Jurassic Park,1993,8.1,"918,928"
170,Salinui chueok,2003,8.1,"163,168"
171,V for Vendetta,2005,8.1,"1,077,167"
172,Blade Runner,1982,8.1,"730,733"
173,Trainspotting,1996,8.1,"661,077"
174,Inside Out,2015,8.1,"662,356"
175,The Bridge on the River Kwai,1957,8.1,"212,757"
176,Fargo,1996,8.1,"648,869"
177,Warrior,2011,8.1,"453,257"
178,Finding Nemo,2003,8.1,"992,429"
179,Kill Bill: Vol. 1,2003,8.1,"1,057,008"
180,Gone with the Wind,1939,8.1,"303,592"
181,Tôkyô monogatari,1953,8.1,"58,461"
182,On the Waterfront,1954,8.1,"149,662"
183,Babam ve Oglum,2005,8.1,"83,796"
184,Relatos salvajes,2014,8.1,"188,805"
185,Stalker,1979,8.1,"127,879"
186,The Deer Hunter,1978,8.1,"327,055"
187,Z,1969,8.1,"26,515"
188,Prisoners,2013,8.1,"650,061"
189,The Grand Budapest Hotel,2014,8.1,"755,869"
190,Sherlock Jr.,1924,8.1,"46,682"
191,The General,1926,8.1,"87,697"
192,Gran Torino,2008,8.1,"747,623"
193,Persona,1966,8.1,"112,160"
194,Before Sunrise,1995,8.1,"290,077"
195,Mary and Max.,2009,8.1,"171,880"
196,Catch Me If You Can,2002,8.1,"901,285"
197,Mr. Smith Goes to Washington,1939,8.1,"112,228"
198,In the Name of the Father,1993,8.1,"167,461"
199,Barry Lyndon,1975,8.1,"160,029"
200,Room,2015,8.1,"396,963"
201,Gone Girl,2014,8.1,"920,842"
202,Hacksaw Ridge,2016,8.1,"476,371"
203,La passion de Jeanne d'Arc,1928,8.1,"52,031"
204,Andhadhun,2018,8.1,"84,909"
205,Ford v Ferrari,2019,8.1,"344,271"
206,12 Years a Slave,2013,8.1,"670,363"
207,To Be or Not to Be,1942,8.1,"34,441"
208,The Big Lebowski,1998,8.1,"772,877"
209,Höstsonaten,1978,8.1,"32,141"
210,Dead Poets Society,1989,8.1,"455,141"
211,How to Train Your Dragon,2010,8.1,"700,264"
212,Mad Max: Fury Road,2015,8.1,"939,719"
213,Ben-Hur,1959,8.1,"230,232"
214,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,"813,107"
215,Million Dollar Baby,2004,8.1,"662,566"
216,Le salaire de la peur,1953,8.1,"58,746"
217,Ah-ga-ssi,2016,8.1,"131,131"
218,Stand by Me,1986,8.1,"383,259"
219,Network,1976,8.1,"153,539"
220,Logan,2017,8.1,"699,193"
221,Gangs of Wasseypur,2012,8.1,"91,003"
222,Cool Hand Luke,1967,8.0,"171,331"
223,Hachi: A Dog's Tale,2009,8.0,"269,404"
224,La haine,1995,8.0,"162,364"
225,Les quatre cents coups,1959,8.0,"112,569"
226,Koe no katachi,2016,8.0,"66,744"
227,Platoon,1986,8.0,"398,189"
228,Spotlight,2015,8.0,"447,333"
229,"Monsters, Inc.",2001,8.0,"859,193"
230,Rebecca,1940,8.0,"132,213"
231,Life of Brian,1979,8.0,"384,639"
232,Hotel Rwanda,2004,8.0,"345,681"
233,Eskiya,1996,8.0,"68,306"
234,Fa Yeung Nin Wah,2000,8.0,"139,163"
235,Rush,2013,8.0,"457,027"
236,Into the Wild,2007,8.0,"599,500"
237,Rocky,1976,8.0,"545,219"
238,Amores perros,2000,8.0,"233,531"
239,Kaze no tani no Naushika,1984,8.0,"161,829"
240,96,2018,8.0,"26,277"
241,Andrei Rublev,1966,8.0,"51,482"
242,It Happened One Night,1934,8.0,"99,743"
243,Before Sunset,2004,8.0,"250,464"
244,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.0,"48,274"
245,Fanny och Alexander,1982,8.0,"61,505"
246,La battaglia di Algeri,1966,8.0,"57,474"
247,Le notti di Cabiria,1957,8.0,"46,736"
248,The Princess Bride,1987,8.0,"412,577"
249,"Paris, Texas",1984,8.0,"100,697"
250,Soorarai Pottru,2020,8.0,"103,764"
